Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Feminino,69,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,46,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,29,Ensino Médio Completo,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,29,Ensino Fundamental Incompleto,Pimentel ,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,52,Ensino Fundamental Incompleto,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,37,Ensino Médio Completo,Granja Primor ,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,53,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,49,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,61,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,50,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,60,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,53,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,20,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,42,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,30,Ensino Médio Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,26,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,28,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,19,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,42,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,22,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,26,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,27,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,40,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,27,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,63,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,51,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,62,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,37,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,38,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,54,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,cadastro Único
Feminino,18,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,60,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,70,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,67,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,39,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,58,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,38,Ensino Médio Incompleto,Morro do Tiro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,18,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,74,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,23,Ensino Fundamental Incompleto,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,30,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,50,Ensino Fundamental Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,71,Não Escolarizado,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,27,Ensino Fundamental Incompleto,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,31,Ensino Fundamental Incompleto,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,62,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,45,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,54,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
